,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
13905,38530,CA-2013-137337,09-03-2013,13-03-2013,Standard Class,GB-14575,Giulietta Baptist,Consumer,New York City,New York,United States,10011.0,US,East,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,113.6,8,0.0,44.304,21.96,High
13951,34716,CA-2012-150791,06-09-2012,13-09-2012,Standard Class,CC-12430,Chuck Clark,Home Office,New York City,New York,United States,10024.0,US,East,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.764,2,0.1,60.392,21.84,Medium
14031,38617,CA-2014-100097,27-11-2014,30-11-2014,Second Class,MN-17935,Michael Nguyen,Consumer,New York City,New York,United States,10009.0,US,East,FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",135.3,5,0.0,37.884,21.64,High
14032,39906,CA-2011-151946,04-06-2011,09-06-2011,Standard Class,BT-11440,Bobby Trafton,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,353.568,2,0.2,-44.196,21.64,Medium
14065,35688,CA-2014-111556,21-11-2014,23-11-2014,First Class,CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East,OFF-AR-10004602,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,68.97,3,0.0,19.3116,21.57,Critical
14161,32524,CA-2013-126004,05-12-2013,06-12-2013,First Class,BM-11140,Becky Martin,Consumer,New York City,New York,United States,10024.0,US,East,OFF-ST-10000676,Office Supplies,Storage,Fellowes Econo/Stor Drawers,193.86,2,0.0,11.6316,21.38,High
14408,33013,CA-2013-169943,20-05-2013,25-05-2013,Standard Class,BN-11515,Bradley Nguyen,Consumer,New York City,New York,United States,10011.0,US,East,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,242.9,5,0.0,70.441,20.86,Medium
14522,37269,CA-2014-115105,07-02-2014,12-02-2014,Standard Class,BD-11770,Bryan Davis,Consumer,New York City,New York,United States,10024.0,US,East,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.784,1,0.2,30.098,20.62,Medium
14555,37780,CA-2014-113908,04-06-2014,10-06-2014,Standard Class,KN-16390,Katherine Nockton,Corporate,New York City,New York,United States,10011.0,US,East,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",384.768,2,0.4,-115.4304,20.55,Medium
14572,34477,CA-2014-105235,06-12-2014,12-12-2014,Standard Class,SM-20950,Suzanne McNair,Corporate,New York City,New York,United States,10011.0,US,East,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,254.9,5,0.0,68.823,20.52,Medium
14588,33525,CA-2013-139157,02-10-2013,06-10-2013,Standard Class,GM-14680,Greg Matthias,Consumer,New York City,New York,United States,10024.0,US,East,FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",330.588,1,0.4,-115.7058,20.49,Medium
14708,33248,CA-2014-157987,03-09-2014,07-09-2014,Standard Class,AC-10615,Ann Chong,Corporate,New York City,New York,United States,10009.0,US,East,TEC-PH-10003885,Technology,Phones,Cisco SPA508G,197.97,3,0.0,57.4113,20.24,High
14733,41100,CA-2012-122973,18-07-2012,20-07-2012,Second Class,PJ-19015,Pauline Johnson,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",135.99,1,0.0,36.7173,20.19,High
14998,37667,CA-2013-113425,22-11-2013,22-11-2013,Same Day,JK-16120,Julie Kriz,Home Office,New York City,New York,United States,10009.0,US,East,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",113.568,2,0.2,12.7764,19.74,Critical
15011,40607,US-2013-102141,27-08-2013,01-09-2013,Standard Class,KD-16615,Ken Dana,Corporate,New York City,New York,United States,10024.0,US,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,146.688,8,0.2,45.84,19.71,High
15116,38057,CA-2014-100636,27-06-2014,01-07-2014,Standard Class,DO-13435,Denny Ordway,Consumer,New York City,New York,United States,10035.0,US,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,272.94,3,0.0,0.0,19.5,Medium
15121,31393,CA-2014-161018,10-11-2014,12-11-2014,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,United States,10009.0,US,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,19.49,Critical
15122,37424,CA-2013-124100,01-04-2013,07-04-2013,Standard Class,EH-13990,Erica Hackney,Consumer,New York City,New York,United States,10009.0,US,East,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",327.996,6,0.1,54.666,19.49,Medium
15146,40203,US-2013-126431,02-07-2013,02-07-2013,Same Day,SU-20665,Stephanie Ulpright,Home Office,New York City,New York,United States,10009.0,US,East,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,75.06,9,0.0,33.777,19.45,High
15226,31985,CA-2014-161480,26-12-2014,30-12-2014,Standard Class,RA-19285,Ralph Arnett,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",191.984,2,0.2,4.7996,19.3,High
15239,33157,US-2014-121251,27-03-2014,28-03-2014,First Class,GM-14440,Gary McGarr,Consumer,New York City,New York,United States,10009.0,US,East,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",257.568,2,0.2,-28.9764,19.28,Critical
15297,33400,CA-2014-167101,25-03-2014,29-03-2014,Second Class,BM-11650,Brian Moss,Corporate,New York City,New York,United States,10009.0,US,East,OFF-PA-10000357,Office Supplies,Paper,Xerox 1888,221.92,4,0.0,106.5216,19.17,Medium
15345,32695,CA-2013-124485,25-11-2013,27-11-2013,First Class,NC-18340,Nat Carroll,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,88.4,4,0.0,11.492,19.08,High
15353,40032,US-2011-169390,08-02-2011,11-02-2011,Second Class,CS-12250,Chris Selesnick,Corporate,New York City,New York,United States,10024.0,US,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0.0,9.744,19.07,Critical
15360,32007,CA-2011-113887,05-04-2011,07-04-2011,First Class,TH-21550,Tracy Hopkins,Home Office,New York City,New York,United States,10035.0,US,East,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48,1,0.0,26.6304,19.06,Critical
15365,37925,CA-2012-135489,19-09-2012,22-09-2012,Second Class,GW-14605,Giulietta Weimer,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,279.86,14,0.0,134.3328,19.05,High
15395,40268,CA-2014-122308,25-03-2014,29-03-2014,Standard Class,MV-17485,Mark Van Huff,Consumer,New York City,New York,United States,10011.0,US,East,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.764,2,0.1,60.392,19.0,Medium
15433,37483,CA-2012-138954,15-11-2012,17-11-2012,First Class,MH-17785,Maya Herman,Corporate,New York City,New York,United States,10035.0,US,East,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,70.95,3,0.0,20.5755,18.94,Critical
15499,40876,CA-2014-152975,15-09-2014,17-09-2014,First Class,RB-19705,Roger Barcio,Home Office,New York City,New York,United States,10035.0,US,East,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,70.98,1,0.0,3.549,18.82,High
15510,37753,CA-2011-110065,05-08-2011,11-08-2011,Standard Class,SP-20650,Stephanie Phelps,Corporate,New York City,New York,United States,10009.0,US,East,TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",135.99,1,0.0,36.7173,18.8,Medium
15589,41150,CA-2013-158155,03-05-2013,07-05-2013,Standard Class,EH-13765,Edward Hooks,Corporate,New York City,New York,United States,10009.0,US,East,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",214.7,5,0.0,83.733,18.65,Medium
15666,37805,CA-2014-102197,21-12-2014,27-12-2014,Standard Class,DK-13150,David Kendrick,Corporate,New York City,New York,United States,10009.0,US,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,279.9,5,0.0,137.151,18.52,Medium
15737,38640,CA-2011-168473,26-12-2011,01-01-2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,New York City,New York,United States,10009.0,US,East,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,191.88,6,0.0,19.188,18.42,Medium
15888,31487,CA-2012-102281,12-10-2012,14-10-2012,First Class,MP-17470,Mark Packer,Home Office,New York City,New York,United States,10035.0,US,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0.0,20.0928,18.15,Critical
15889,32877,CA-2012-131338,09-08-2012,12-08-2012,First Class,NP-18325,Naresj Patel,Consumer,New York City,New York,United States,10024.0,US,East,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,382.806,9,0.4,-153.1224,18.15,Medium
16077,40075,CA-2014-135377,14-12-2014,19-12-2014,Standard Class,BP-11095,Bart Pistole,Corporate,New York City,New York,United States,10024.0,US,East,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",287.976,3,0.2,7.1994,17.81,Medium
16092,33480,CA-2013-128818,08-05-2013,12-05-2013,Standard Class,CJ-12010,Caroline Jumper,Consumer,New York City,New York,United States,10009.0,US,East,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,199.95,5,0.0,21.9945,17.79,Medium
16097,38309,US-2011-135881,23-05-2011,27-05-2011,Standard Class,GT-14710,Greg Tran,Consumer,New York City,New York,United States,10035.0,US,East,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,17.78,Medium
16153,35480,US-2014-136868,07-10-2014,13-10-2014,Standard Class,CR-12820,Cyra Reiten,Home Office,New York City,New York,United States,10035.0,US,East,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,344.91,3,0.0,10.3473,17.69,Medium
16339,32708,CA-2013-136329,10-07-2013,14-07-2013,Standard Class,JD-15895,Jonathan Doherty,Corporate,New York City,New York,United States,10035.0,US,East,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.006,2,0.1,72.5344,17.37,Medium
16374,37093,CA-2011-124856,29-09-2011,03-10-2011,Second Class,LD-17005,Lisa DeCherney,Consumer,New York City,New York,United States,10011.0,US,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",117.36,4,0.0,36.3816,17.32,High
16413,34001,CA-2014-156818,12-07-2014,14-07-2014,Second Class,JD-16015,Joy Daniels,Consumer,New York City,New York,United States,10009.0,US,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,132.6,6,0.0,17.238,17.25,High
16613,32151,CA-2013-123274,19-02-2013,24-02-2013,Standard Class,GT-14710,Greg Tran,Consumer,New York City,New York,United States,10035.0,US,East,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,0.0,9.7176,16.91,Medium
16646,36226,US-2011-138828,02-09-2011,03-09-2011,First Class,KD-16345,Katherine Ducich,Consumer,New York City,New York,United States,10009.0,US,East,OFF-AR-10000658,Office Supplies,Art,Newell 324,57.75,5,0.0,16.17,16.87,Critical
16683,32519,CA-2013-126004,05-12-2013,06-12-2013,First Class,BM-11140,Becky Martin,Consumer,New York City,New York,United States,10024.0,US,East,FUR-FU-10001602,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",113.79,3,0.0,20.4822,16.81,High
16705,34904,CA-2011-163559,23-09-2011,28-09-2011,Second Class,ST-20530,Shui Tom,Consumer,New York City,New York,United States,10035.0,US,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,139.44,3,0.2,47.061,16.77,Medium
16755,32272,US-2014-103247,06-10-2014,09-10-2014,Second Class,PO-19195,Phillina Ober,Home Office,New York City,New York,United States,10011.0,US,East,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,75.792,3,0.2,25.5798,16.7,Critical
16895,32004,CA-2011-112158,02-12-2011,04-12-2011,First Class,DP-13165,David Philippe,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,119.96,4,0.0,52.7824,16.5,High
16911,37636,CA-2014-143112,06-10-2014,10-10-2014,Standard Class,TS-21370,Todd Sumrall,Corporate,New York City,New York,United States,10035.0,US,East,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",221.382,2,0.1,2.4598,16.47,Medium
17112,37123,CA-2014-161067,04-09-2014,07-09-2014,Second Class,KB-16405,Katrina Bavinger,Home Office,New York City,New York,United States,10035.0,US,East,FUR-CH-10004626,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,90.801,1,0.1,14.1246,16.17,High
17157,39459,CA-2012-120915,28-09-2012,03-10-2012,Second Class,JJ-15445,Jennifer Jackson,Consumer,New York City,New York,United States,10035.0,US,East,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,307.98,2,0.0,89.3142,16.11,Medium
17208,31736,CA-2014-157252,21-01-2014,24-01-2014,Second Class,CV-12805,Cynthia Voltz,Corporate,New York City,New York,United States,10024.0,US,East,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.846,3,0.1,2.3094,16.05,Medium
17230,37935,CA-2014-103352,28-11-2014,01-12-2014,Second Class,RP-19390,Resi Pölking,Consumer,New York City,New York,United States,10011.0,US,East,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",107.424,6,0.2,36.2556,16.01,Medium
17244,34012,CA-2011-127187,04-12-2011,08-12-2011,Standard Class,CP-12085,Cathy Prescott,Corporate,New York City,New York,United States,10024.0,US,East,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,129.98,2,0.0,62.3904,15.99,High
17290,32314,CA-2012-108665,06-07-2012,10-07-2012,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",155.82,3,0.0,63.8862,15.93,High
17348,31659,CA-2014-144904,26-09-2014,02-10-2014,Standard Class,KW-16435,Katrina Willman,Consumer,New York City,New York,United States,10009.0,US,East,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,488.646,3,0.1,86.8704,15.86,Medium
17404,35117,CA-2014-141873,10-10-2014,15-10-2014,Standard Class,HG-14845,Harry Greene,Consumer,New York City,New York,United States,10024.0,US,East,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",314.352,3,0.2,-15.7176,15.76,Medium
17469,38635,CA-2011-163412,20-12-2011,23-12-2011,Second Class,SM-20950,Suzanne McNair,Corporate,New York City,New York,United States,10035.0,US,East,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,192.186,3,0.1,36.3018,15.67,Medium
17550,37388,CA-2014-100111,21-09-2014,27-09-2014,Standard Class,SV-20365,Seth Vernon,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10002647,Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired",212.8,2,0.0,95.76,15.57,Medium
17588,36161,CA-2014-163531,27-06-2014,01-07-2014,Standard Class,SC-20725,Steven Cartwright,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10001425,Technology,Phones,Mophie Juice Pack Helium for iPhone,239.97,3,0.0,67.1916,15.53,High
17595,39840,CA-2011-137575,06-08-2011,11-08-2011,Standard Class,TB-21625,Trudy Brown,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,199.98,2,0.0,83.9916,15.52,Medium
17601,37738,CA-2013-101161,14-10-2013,21-10-2013,Standard Class,BW-11110,Bart Watters,Corporate,New York City,New York,United States,10024.0,US,East,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,99.87,3,0.0,23.9688,15.51,Low
17641,36523,CA-2013-119865,22-06-2013,27-06-2013,Standard Class,AS-10090,Adam Shillingsburg,Consumer,New York City,New York,United States,10011.0,US,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",186.144,6,0.2,60.4968,15.46,High
17744,31549,CA-2013-146941,11-12-2013,14-12-2013,First Class,DL-13315,Delfina Latchford,Consumer,New York City,New York,United States,10024.0,US,East,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6,0.0,22.5624,15.31,High
17891,40766,CA-2014-102925,06-11-2014,11-11-2014,Second Class,CD-12280,Christina DeMoss,Consumer,New York City,New York,United States,10024.0,US,East,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",110.96,2,0.0,53.2608,15.09,Medium
18064,35925,CA-2013-101336,14-11-2013,19-11-2013,Standard Class,CK-12760,Cyma Kinney,Corporate,New York City,New York,United States,10011.0,US,East,OFF-AR-10003582,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",140.75,5,0.0,39.41,14.87,Medium
18074,33897,CA-2014-108553,24-04-2014,30-04-2014,Standard Class,SK-19990,Sally Knutson,Consumer,New York City,New York,United States,10024.0,US,East,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",122.71,7,0.0,36.813,14.86,Medium
18203,39096,CA-2014-166184,25-03-2014,28-03-2014,First Class,HR-14830,Harold Ryan,Corporate,New York City,New York,United States,10035.0,US,East,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.846,3,0.1,2.3094,14.66,High
18293,39498,CA-2012-114811,08-11-2012,08-11-2012,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,OFF-ST-10000885,Office Supplies,Storage,Fellowes Desktop Hanging File Manager,67.15,5,0.0,16.7875,14.54,Medium
18317,34533,CA-2013-146836,03-05-2013,03-05-2013,Same Day,CC-12475,Cindy Chapman,Consumer,New York City,New York,United States,10024.0,US,East,OFF-ST-10001580,Office Supplies,Storage,Super Decoflex Portable Personal File,44.94,3,0.0,12.5832,14.51,High
18478,32830,CA-2013-139885,05-12-2013,09-12-2013,Standard Class,EB-13840,Ellis Ballard,Corporate,New York City,New York,United States,10035.0,US,East,OFF-ST-10003324,Office Supplies,Storage,Belkin OmniView SE Rackmount Kit,212.88,6,0.0,0.0,14.29,Medium
18498,31651,CA-2013-138520,09-04-2013,14-04-2013,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,388.704,6,0.2,-4.8588,14.26,Medium
18552,32176,CA-2014-111689,01-12-2014,03-12-2014,Second Class,HP-14815,Harold Pawlan,Home Office,New York City,New York,United States,10024.0,US,East,OFF-BI-10003984,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',68.472,3,0.2,23.1093,14.2,Critical
18610,37217,US-2012-126977,17-09-2012,23-09-2012,Standard Class,PF-19120,Peter Fuller,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,659.9,2,0.0,217.767,14.13,Medium
18670,37095,CA-2011-124856,29-09-2011,03-10-2011,Second Class,LD-17005,Lisa DeCherney,Consumer,New York City,New York,United States,10011.0,US,East,OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,77.52,2,0.0,37.9848,14.05,High
18717,38393,CA-2013-101980,20-08-2013,21-08-2013,First Class,RP-19390,Resi Pölking,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,276.784,2,0.2,89.9548,13.98,Medium
18745,36744,US-2013-127425,27-08-2013,01-09-2013,Standard Class,DR-12880,Dan Reichenbach,Corporate,New York City,New York,United States,10035.0,US,East,TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,249.95,5,0.0,87.4825,13.95,Medium
18858,35764,CA-2014-168641,25-11-2014,02-12-2014,Standard Class,KA-16525,Kelly Andreada,Consumer,New York City,New York,United States,10035.0,US,East,OFF-EN-10003001,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,167.96,2,0.0,78.9412,13.81,Low
18859,40617,US-2014-108343,21-07-2014,26-07-2014,Standard Class,AR-10825,Anthony Rawles,Corporate,New York City,New York,United States,10009.0,US,East,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,183.92,4,0.0,31.2664,13.81,Medium
18890,37664,CA-2014-144848,05-04-2014,06-04-2014,First Class,DS-13030,Darrin Sayre,Home Office,New York City,New York,United States,10009.0,US,East,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,119.02,2,0.0,33.3256,13.77,Medium
18948,37329,CA-2014-104010,24-04-2014,26-04-2014,First Class,TD-20995,Tamara Dahlen,Consumer,New York City,New York,United States,10011.0,US,East,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,54.9,5,0.0,15.372,13.71,High
18988,31614,CA-2011-164973,04-11-2011,09-11-2011,Standard Class,NM-18445,Nathan Mautz,Home Office,New York City,New York,United States,10024.0,US,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,0.1,24.1568,13.66,High
19060,32315,CA-2012-108665,06-07-2012,10-07-2012,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10004188,Technology,Phones,OtterBox Commuter Series Case - Samsung Galaxy S4,124.95,5,0.0,2.499,13.57,High
19075,40769,CA-2014-102925,06-11-2014,11-11-2014,Second Class,CD-12280,Christina DeMoss,Consumer,New York City,New York,United States,10024.0,US,East,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,128.124,2,0.1,24.2012,13.55,Medium
19194,39323,CA-2012-132465,11-09-2012,15-09-2012,Second Class,DM-13525,Don Miller,Corporate,New York City,New York,United States,10035.0,US,East,OFF-ST-10003641,Office Supplies,Storage,Space Solutions Industrial Galvanized Steel Shelving.,78.8,1,0.0,1.576,13.4,Medium
19204,31488,CA-2012-102281,12-10-2012,14-10-2012,First Class,MP-17470,Mark Packer,Home Office,New York City,New York,United States,10035.0,US,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84,8,0.0,24.8832,13.38,Critical
19213,36812,CA-2012-103177,30-05-2012,01-06-2012,First Class,EN-13780,Edward Nazzal,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10001527,Technology,Phones,Plantronics MX500i Earset,128.85,3,0.0,3.8655,13.37,High
19228,31950,CA-2014-140844,20-06-2014,24-06-2014,Standard Class,AR-10405,Allen Rosenblatt,Corporate,New York City,New York,United States,10035.0,US,East,TEC-AC-10001101,Technology,Accessories,Sony 16GB Class 10 Micro SDHC R40 Memory Card,103.12,8,0.0,10.312,13.35,High
19275,39561,CA-2011-131800,30-12-2011,04-01-2012,Standard Class,AJ-10960,Astrea Jones,Consumer,New York City,New York,United States,10035.0,US,East,OFF-AP-10004136,Office Supplies,Appliances,Kensington 6 Outlet SmartSocket Surge Protector,122.94,3,0.0,30.735,13.29,Medium
19602,32138,CA-2012-100454,20-11-2012,25-11-2012,Standard Class,BM-11650,Brian Moss,Corporate,New York City,New York,United States,10035.0,US,East,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,186.048,4,0.2,9.3024,12.92,Medium
19625,39156,CA-2011-103429,30-05-2011,01-06-2011,First Class,LW-16825,Laurel Workman,Corporate,New York City,New York,United States,10024.0,US,East,OFF-PA-10001712,Office Supplies,Paper,Xerox 1948,39.96,4,0.0,17.982,12.9,Critical
19717,39033,CA-2011-105872,30-05-2011,06-06-2011,Standard Class,JG-15160,James Galang,Consumer,New York City,New York,United States,10024.0,US,East,OFF-BI-10003684,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,70.368,4,0.2,26.388,12.8,Low
19865,40693,CA-2011-125997,20-09-2011,23-09-2011,First Class,MW-18220,Mitch Webber,Consumer,New York City,New York,United States,10011.0,US,East,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,12.64,High
19878,37651,US-2012-109015,06-09-2012,12-09-2012,Standard Class,BS-11590,Brendan Sweed,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,337.98,2,0.0,101.394,12.63,Medium
19931,33092,US-2014-139465,28-08-2014,31-08-2014,First Class,MR-17545,Mathew Reese,Home Office,New York City,New York,United States,10024.0,US,East,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,63.84,8,0.0,16.5984,12.58,High
20085,38336,CA-2014-103443,18-12-2014,24-12-2014,Standard Class,AT-10735,Annie Thurman,Consumer,New York City,New York,United States,10009.0,US,East,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,0.0,41.68,12.41,Medium
20171,40699,CA-2013-105459,13-08-2013,18-08-2013,Second Class,NP-18700,Nora Preis,Consumer,New York City,New York,United States,10024.0,US,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,209.148,2,0.4,-66.2302,12.32,Medium
20228,37214,US-2012-126977,17-09-2012,23-09-2012,Standard Class,PF-19120,Peter Fuller,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704,6,0.2,158.5764,12.26,Medium
20253,34738,CA-2011-158337,11-03-2011,14-03-2011,Second Class,KA-16525,Kelly Andreada,Consumer,New York City,New York,United States,10024.0,US,East,OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",108.92,14,0.0,49.014,12.24,High
